dataset,model,stage,batch_size,comparison,mean_a_mj,mean_b_mj,saving_pct,wilcoxon_p,effect_size_r,significant
IEEE-CIS Fraud,LightGBM,preprocessing,100,FP32 vs FP64,98.6847,358.5015,72.47,0.0,0.963,YES
IEEE-CIS Fraud,LightGBM,preprocessing,100,FP16 vs FP64,183.8972,358.5015,48.7,0.00033,0.772,YES
IEEE-CIS Fraud,LightGBM,preprocessing,100,BF16 vs FP64,101.8253,358.5015,71.6,0.0,0.969,YES
IEEE-CIS Fraud,LightGBM,preprocessing,1000,FP32 vs FP64,183.2188,250.1424,26.75,0.0,0.969,YES
IEEE-CIS Fraud,LightGBM,preprocessing,1000,FP16 vs FP64,1014.0337,250.1424,-305.38,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,preprocessing,1000,BF16 vs FP64,250.7497,250.1424,-0.24,0.87399,0.04,NO
IEEE-CIS Fraud,LightGBM,preprocessing,10000,FP32 vs FP64,1054.1886,1784.1558,40.91,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,preprocessing,10000,FP16 vs FP64,9054.2736,1784.1558,-407.48,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,preprocessing,10000,BF16 vs FP64,1511.925,1784.1558,15.26,0.00737,0.6,YES
IEEE-CIS Fraud,LightGBM,preprocessing,100000,FP32 vs FP64,12048.7541,29688.5509,59.42,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,preprocessing,100000,FP16 vs FP64,87956.8025,29688.5509,-196.27,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,preprocessing,100000,BF16 vs FP64,13307.3602,29688.5509,55.18,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,inference,100,FP32 vs FP64,332.4916,1004.7107,66.91,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,inference,100,FP16 vs FP64,343.4172,1004.7107,65.82,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,inference,100,BF16 vs FP64,407.6824,1004.7107,59.42,2e-05,0.877,YES
IEEE-CIS Fraud,LightGBM,inference,1000,FP32 vs FP64,2009.6184,1904.9035,-5.5,0.24107,0.274,NO
IEEE-CIS Fraud,LightGBM,inference,1000,FP16 vs FP64,1954.6423,1904.9035,-2.61,0.57821,0.132,NO
IEEE-CIS Fraud,LightGBM,inference,1000,BF16 vs FP64,1819.3583,1904.9035,4.49,0.33879,0.225,NO
IEEE-CIS Fraud,LightGBM,inference,10000,FP32 vs FP64,16987.1872,17081.6528,0.55,0.5424,0.145,NO
IEEE-CIS Fraud,LightGBM,inference,10000,FP16 vs FP64,17734.1828,17081.6528,-3.82,0.47416,0.169,NO
IEEE-CIS Fraud,LightGBM,inference,10000,BF16 vs FP64,17652.4865,17081.6528,-3.34,0.65284,0.108,NO
IEEE-CIS Fraud,LightGBM,inference,100000,FP32 vs FP64,166085.6836,169805.9531,2.19,0.67208,0.102,NO
IEEE-CIS Fraud,LightGBM,inference,100000,FP16 vs FP64,168826.9157,169805.9531,0.58,0.8532,0.046,NO
IEEE-CIS Fraud,LightGBM,inference,100000,BF16 vs FP64,169514.5513,169805.9531,0.17,0.5077,0.157,NO
IEEE-CIS Fraud,LightGBM,postprocessing,100,FP32 vs FP64,78.0132,389.2166,79.96,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,postprocessing,100,FP16 vs FP64,81.6833,389.2166,79.01,0.0,1.0,YES
IEEE-CIS Fraud,LightGBM,postprocessing,100,BF16 vs FP64,84.2607,389.2166,78.35,0.0,0.975,YES
IEEE-CIS Fraud,LightGBM,postprocessing,1000,FP32 vs FP64,84.2553,81.8549,-2.93,0.9158,0.028,NO
IEEE-CIS Fraud,LightGBM,postprocessing,1000,FP16 vs FP64,83.3008,81.8549,-1.77,0.81193,0.058,NO
IEEE-CIS Fraud,LightGBM,postprocessing,1000,BF16 vs FP64,79.8419,81.8549,2.46,0.69152,0.095,NO
IEEE-CIS Fraud,LightGBM,postprocessing,10000,FP32 vs FP64,86.2628,87.334,1.23,0.63383,0.114,NO
IEEE-CIS Fraud,LightGBM,postprocessing,10000,FP16 vs FP64,90.8864,87.334,-4.07,0.9368,0.022,NO
IEEE-CIS Fraud,LightGBM,postprocessing,10000,BF16 vs FP64,94.2567,87.334,-7.93,0.11993,0.36,NO
IEEE-CIS Fraud,LightGBM,postprocessing,100000,FP32 vs FP64,126.735,137.5771,7.88,0.19081,0.305,NO
IEEE-CIS Fraud,LightGBM,postprocessing,100000,FP16 vs FP64,125.9149,137.5771,8.48,0.36659,0.212,NO
IEEE-CIS Fraud,LightGBM,postprocessing,100000,BF16 vs FP64,141.9898,137.5771,-3.21,0.26348,0.262,NO
IEEE-CIS Fraud,XGBoost,preprocessing,100,FP32 vs FP64,96.9129,102.5201,5.47,0.00418,0.637,YES
IEEE-CIS Fraud,XGBoost,preprocessing,100,FP16 vs FP64,182.9692,102.5201,-78.47,0.0,1.0,YES
IEEE-CIS Fraud,XGBoost,preprocessing,100,BF16 vs FP64,103.1637,102.5201,-0.63,0.27518,0.255,NO
IEEE-CIS Fraud,XGBoost,preprocessing,1000,FP32 vs FP64,167.2551,253.0788,33.91,0.0,1.0,YES
IEEE-CIS Fraud,XGBoost,preprocessing,1000,FP16 vs FP64,960.139,253.0788,-279.38,0.0,1.0,YES
IEEE-CIS Fraud,XGBoost,preprocessing,1000,BF16 vs FP64,270.0316,253.0788,-6.7,0.97892,0.009,NO
IEEE-CIS Fraud,XGBoost,preprocessing,10000,FP32 vs FP64,1132.7317,1809.15,37.39,5e-05,0.846,YES
IEEE-CIS Fraud,XGBoost,preprocessing,10000,FP16 vs FP64,9447.7624,1809.15,-422.22,0.0,1.0,YES
IEEE-CIS Fraud,XGBoost,preprocessing,10000,BF16 vs FP64,1442.8034,1809.15,20.25,0.00043,0.76,YES
IEEE-CIS Fraud,XGBoost,preprocessing,100000,FP32 vs FP64,12396.9439,29290.3944,57.68,0.0,1.0,YES
IEEE-CIS Fraud,XGBoost,preprocessing,100000,FP16 vs FP64,88698.962,29290.3944,-202.83,0.0,1.0,YES
IEEE-CIS Fraud,XGBoost,preprocessing,100000,BF16 vs FP64,13459.7566,29290.3944,54.05,0.0,1.0,YES
IEEE-CIS Fraud,XGBoost,inference,100,FP32 vs FP64,247.39,246.9246,-0.19,0.56017,0.138,NO
IEEE-CIS Fraud,XGBoost,inference,100,FP16 vs FP64,282.5491,246.9246,-14.43,0.06263,0.428,NO
IEEE-CIS Fraud,XGBoost,inference,100,BF16 vs FP64,232.8586,246.9246,5.7,0.38098,0.206,NO
IEEE-CIS Fraud,XGBoost,inference,1000,FP32 vs FP64,885.6222,1056.9952,16.21,0.02027,0.526,YES
IEEE-CIS Fraud,XGBoost,inference,1000,FP16 vs FP64,1140.7826,1056.9952,-7.93,0.73099,0.083,NO
IEEE-CIS Fraud,XGBoost,inference,1000,BF16 vs FP64,1042.699,1056.9952,1.35,0.5077,0.157,NO
IEEE-CIS Fraud,XGBoost,inference,10000,FP32 vs FP64,9043.5519,8096.3908,-11.7,0.36659,0.212,NO
IEEE-CIS Fraud,XGBoost,inference,10000,FP16 vs FP64,10435.2313,8096.3908,-28.89,0.00049,0.754,YES
IEEE-CIS Fraud,XGBoost,inference,10000,BF16 vs FP64,8150.9549,8096.3908,-0.67,0.81193,0.058,NO
IEEE-CIS Fraud,XGBoost,inference,100000,FP32 vs FP64,79745.468,90045.1873,11.44,0.24107,0.274,NO
IEEE-CIS Fraud,XGBoost,inference,100000,FP16 vs FP64,100117.722,90045.1873,-11.19,0.21999,0.286,NO
IEEE-CIS Fraud,XGBoost,inference,100000,BF16 vs FP64,80180.95,90045.1873,10.95,0.12665,0.354,NO
IEEE-CIS Fraud,XGBoost,postprocessing,100,FP32 vs FP64,87.2912,81.859,-6.64,0.5424,0.145,NO
IEEE-CIS Fraud,XGBoost,postprocessing,100,FP16 vs FP64,80.0824,81.859,2.17,0.32539,0.231,NO
IEEE-CIS Fraud,XGBoost,postprocessing,100,BF16 vs FP64,77.2916,81.859,5.58,0.1645,0.323,NO
IEEE-CIS Fraud,XGBoost,postprocessing,1000,FP32 vs FP64,85.0602,86.3239,1.46,0.97892,0.009,NO
IEEE-CIS Fraud,XGBoost,postprocessing,1000,FP16 vs FP64,86.9112,86.3239,-0.68,0.67208,0.102,NO
IEEE-CIS Fraud,XGBoost,postprocessing,1000,BF16 vs FP64,82.3259,86.3239,4.63,0.89486,0.034,NO
IEEE-CIS Fraud,XGBoost,postprocessing,10000,FP32 vs FP64,125.5879,86.3001,-45.52,0.33879,0.225,NO
IEEE-CIS Fraud,XGBoost,postprocessing,10000,FP16 vs FP64,90.9617,86.3001,-5.4,0.77116,0.071,NO
IEEE-CIS Fraud,XGBoost,postprocessing,10000,BF16 vs FP64,87.4939,86.3001,-1.38,0.9368,0.022,NO
IEEE-CIS Fraud,XGBoost,postprocessing,100000,FP32 vs FP64,114.4944,122.0859,6.22,0.87399,0.04,NO
IEEE-CIS Fraud,XGBoost,postprocessing,100000,FP16 vs FP64,117.1244,122.0859,4.06,0.29961,0.243,NO
IEEE-CIS Fraud,XGBoost,postprocessing,100000,BF16 vs FP64,107.4199,122.0859,12.01,0.01731,0.538,YES
IEEE-CIS Fraud,CatBoost,preprocessing,100,FP32 vs FP64,101.6599,96.2958,-5.57,0.44184,0.182,NO
IEEE-CIS Fraud,CatBoost,preprocessing,100,FP16 vs FP64,175.2686,96.2958,-82.01,0.0,1.0,YES
IEEE-CIS Fraud,CatBoost,preprocessing,100,BF16 vs FP64,117.1045,96.2958,-21.61,0.05158,0.446,NO
IEEE-CIS Fraud,CatBoost,preprocessing,1000,FP32 vs FP64,174.1396,246.7684,29.43,0.0,0.994,YES
IEEE-CIS Fraud,CatBoost,preprocessing,1000,FP16 vs FP64,1038.7747,246.7684,-320.95,0.0,1.0,YES
IEEE-CIS Fraud,CatBoost,preprocessing,1000,BF16 vs FP64,240.5611,246.7684,2.52,0.32539,0.231,NO
IEEE-CIS Fraud,CatBoost,preprocessing,10000,FP32 vs FP64,963.0877,1816.555,46.98,0.0,1.0,YES
IEEE-CIS Fraud,CatBoost,preprocessing,10000,FP16 vs FP64,8586.1527,1816.555,-372.66,0.0,1.0,YES
IEEE-CIS Fraud,CatBoost,preprocessing,10000,BF16 vs FP64,1563.2725,1816.555,13.94,0.04215,0.465,YES
IEEE-CIS Fraud,CatBoost,preprocessing,100000,FP32 vs FP64,12316.5753,28855.5521,57.32,0.0,1.0,YES
IEEE-CIS Fraud,CatBoost,preprocessing,100000,FP16 vs FP64,88712.8717,28855.5521,-207.44,0.0,1.0,YES
IEEE-CIS Fraud,CatBoost,preprocessing,100000,BF16 vs FP64,13228.4963,28855.5521,54.16,0.0,1.0,YES
IEEE-CIS Fraud,CatBoost,inference,100,FP32 vs FP64,175.772,174.2506,-0.87,0.81193,0.058,NO
IEEE-CIS Fraud,CatBoost,inference,100,FP16 vs FP64,176.6459,174.2506,-1.37,1.0,0.003,NO
IEEE-CIS Fraud,CatBoost,inference,100,BF16 vs FP64,176.8916,174.2506,-1.52,0.77116,0.071,NO
IEEE-CIS Fraud,CatBoost,inference,1000,FP32 vs FP64,363.8743,364.4147,0.15,0.57821,0.132,NO
IEEE-CIS Fraud,CatBoost,inference,1000,FP16 vs FP64,440.3102,364.4147,-20.83,0.00278,0.662,YES
IEEE-CIS Fraud,CatBoost,inference,1000,BF16 vs FP64,335.9791,364.4147,7.8,0.11349,0.366,NO
IEEE-CIS Fraud,CatBoost,inference,10000,FP32 vs FP64,1863.9564,1878.9337,0.8,0.06263,0.428,NO
IEEE-CIS Fraud,CatBoost,inference,10000,FP16 vs FP64,2205.2237,1878.9337,-17.37,0.00043,0.76,YES
IEEE-CIS Fraud,CatBoost,inference,10000,BF16 vs FP64,1972.4696,1878.9337,-4.98,0.73099,0.083,NO
IEEE-CIS Fraud,CatBoost,inference,100000,FP32 vs FP64,17087.9541,17713.2097,3.53,0.44184,0.182,NO
IEEE-CIS Fraud,CatBoost,inference,100000,FP16 vs FP64,21230.7778,17713.2097,-19.86,0.02748,0.502,YES
IEEE-CIS Fraud,CatBoost,inference,100000,BF16 vs FP64,16752.6058,17713.2097,5.42,0.38098,0.206,NO
IEEE-CIS Fraud,CatBoost,postprocessing,100,FP32 vs FP64,79.3066,77.0764,-2.89,0.57821,0.132,NO
IEEE-CIS Fraud,CatBoost,postprocessing,100,FP16 vs FP64,79.5011,77.0764,-3.15,0.65284,0.108,NO
IEEE-CIS Fraud,CatBoost,postprocessing,100,BF16 vs FP64,81.5975,77.0764,-5.87,0.1645,0.323,NO
IEEE-CIS Fraud,CatBoost,postprocessing,1000,FP32 vs FP64,82.6301,80.5039,-2.64,0.9368,0.022,NO
IEEE-CIS Fraud,CatBoost,postprocessing,1000,FP16 vs FP64,83.0524,80.5039,-3.17,0.75099,0.077,NO
IEEE-CIS Fraud,CatBoost,postprocessing,1000,BF16 vs FP64,77.4844,80.5039,3.75,0.20022,0.298,NO
IEEE-CIS Fraud,CatBoost,postprocessing,10000,FP32 vs FP64,88.479,82.4537,-7.31,0.17296,0.317,NO
IEEE-CIS Fraud,CatBoost,postprocessing,10000,FP16 vs FP64,82.438,82.4537,0.02,0.52491,0.151,NO
IEEE-CIS Fraud,CatBoost,postprocessing,10000,BF16 vs FP64,85.6853,82.4537,-3.92,0.14092,0.342,NO
IEEE-CIS Fraud,CatBoost,postprocessing,100000,FP32 vs FP64,135.6071,130.0732,-4.25,0.83251,0.052,NO
IEEE-CIS Fraud,CatBoost,postprocessing,100000,FP16 vs FP64,125.5303,130.0732,3.49,0.56017,0.138,NO
IEEE-CIS Fraud,CatBoost,postprocessing,100000,BF16 vs FP64,123.2441,130.0732,5.25,0.24107,0.274,NO
HM Ranking,LightGBM,preprocessing,100,FP32 vs FP64,96.1063,90.6138,-6.06,0.9158,0.028,NO
HM Ranking,LightGBM,preprocessing,100,FP16 vs FP64,99.6159,90.6138,-9.93,0.00507,0.625,YES
HM Ranking,LightGBM,preprocessing,100,BF16 vs FP64,86.4017,90.6138,4.65,0.5965,0.126,NO
HM Ranking,LightGBM,preprocessing,1000,FP32 vs FP64,95.7106,102.474,6.6,0.05507,0.44,NO
HM Ranking,LightGBM,preprocessing,1000,FP16 vs FP64,194.4663,102.474,-89.77,0.0,1.0,YES
HM Ranking,LightGBM,preprocessing,1000,BF16 vs FP64,105.2835,102.474,-2.74,0.39571,0.2,NO
HM Ranking,LightGBM,preprocessing,10000,FP32 vs FP64,188.662,223.0351,15.41,0.00203,0.68,YES
HM Ranking,LightGBM,preprocessing,10000,FP16 vs FP64,1055.0376,223.0351,-373.04,0.0,1.0,YES
HM Ranking,LightGBM,preprocessing,10000,BF16 vs FP64,224.1672,223.0351,-0.51,0.67208,0.102,NO
HM Ranking,LightGBM,preprocessing,100000,FP32 vs FP64,944.8054,1713.8385,44.87,0.0,1.0,YES
HM Ranking,LightGBM,preprocessing,100000,FP16 vs FP64,9897.9884,1713.8385,-477.53,0.0,1.0,YES
HM Ranking,LightGBM,preprocessing,100000,BF16 vs FP64,1435.2456,1713.8385,16.26,1e-05,0.902,YES
HM Ranking,LightGBM,inference,100,FP32 vs FP64,236.9262,238.2995,0.58,0.97892,0.009,NO
HM Ranking,LightGBM,inference,100,FP16 vs FP64,235.4916,238.2995,1.18,0.27518,0.255,NO
HM Ranking,LightGBM,inference,100,BF16 vs FP64,257.7463,238.2995,-8.16,0.05507,0.44,NO
HM Ranking,LightGBM,inference,1000,FP32 vs FP64,1009.3744,1000.6791,-0.87,0.5965,0.126,NO
HM Ranking,LightGBM,inference,1000,FP16 vs FP64,986.5589,1000.6791,1.41,0.65284,0.108,NO
HM Ranking,LightGBM,inference,1000,BF16 vs FP64,977.1075,1000.6791,2.36,0.63383,0.114,NO
HM Ranking,LightGBM,inference,10000,FP32 vs FP64,8646.1029,8242.6525,-4.89,0.87399,0.04,NO
HM Ranking,LightGBM,inference,10000,FP16 vs FP64,8251.989,8242.6525,-0.11,0.05507,0.44,NO
HM Ranking,LightGBM,inference,10000,BF16 vs FP64,8286.1562,8242.6525,-0.53,0.45785,0.175,NO
HM Ranking,LightGBM,inference,100000,FP32 vs FP64,80874.9871,82741.2581,2.26,0.65284,0.108,NO
HM Ranking,LightGBM,inference,100000,FP16 vs FP64,80803.015,82741.2581,2.34,0.77116,0.071,NO
HM Ranking,LightGBM,inference,100000,BF16 vs FP64,82790.0002,82741.2581,-0.06,0.1645,0.323,NO
HM Ranking,LightGBM,postprocessing,100,FP32 vs FP64,79.8886,79.7943,-0.12,0.81193,0.058,NO
HM Ranking,LightGBM,postprocessing,100,FP16 vs FP64,79.6699,79.7943,0.16,0.57821,0.132,NO
HM Ranking,LightGBM,postprocessing,100,BF16 vs FP64,81.38,79.7943,-1.99,0.79148,0.065,NO
HM Ranking,LightGBM,postprocessing,1000,FP32 vs FP64,86.9508,91.875,5.36,0.5424,0.145,NO
HM Ranking,LightGBM,postprocessing,1000,FP16 vs FP64,86.0164,91.875,6.38,0.52491,0.151,NO
HM Ranking,LightGBM,postprocessing,1000,BF16 vs FP64,85.6585,91.875,6.77,0.42614,0.188,NO
HM Ranking,LightGBM,postprocessing,10000,FP32 vs FP64,109.3696,109.4965,0.12,0.95785,0.015,NO
HM Ranking,LightGBM,postprocessing,10000,FP16 vs FP64,103.529,109.4965,5.45,0.57821,0.132,NO
HM Ranking,LightGBM,postprocessing,10000,BF16 vs FP64,111.3571,109.4965,-1.7,0.35252,0.218,NO
HM Ranking,LightGBM,postprocessing,100000,FP32 vs FP64,243.0036,257.0603,5.47,0.45785,0.175,NO
HM Ranking,LightGBM,postprocessing,100000,FP16 vs FP64,237.1713,257.0603,7.74,0.15634,0.329,NO
HM Ranking,LightGBM,postprocessing,100000,BF16 vs FP64,297.607,257.0603,-15.77,3e-05,0.871,YES
HM Ranking,XGBoost,preprocessing,100,FP32 vs FP64,89.8116,85.6862,-4.81,0.42614,0.188,NO
HM Ranking,XGBoost,preprocessing,100,FP16 vs FP64,104.1867,85.6862,-21.59,6e-05,0.84,YES
HM Ranking,XGBoost,preprocessing,100,BF16 vs FP64,90.5578,85.6862,-5.69,0.17296,0.317,NO
HM Ranking,XGBoost,preprocessing,1000,FP32 vs FP64,110.5215,103.4324,-6.85,0.15634,0.329,NO
HM Ranking,XGBoost,preprocessing,1000,FP16 vs FP64,209.1208,103.4324,-102.18,0.0,1.0,YES
HM Ranking,XGBoost,preprocessing,1000,BF16 vs FP64,99.8386,103.4324,3.47,0.19081,0.305,NO
HM Ranking,XGBoost,preprocessing,10000,FP32 vs FP64,164.3073,227.3648,27.73,0.0,1.0,YES
HM Ranking,XGBoost,preprocessing,10000,FP16 vs FP64,1067.2696,227.3648,-369.41,0.0,1.0,YES
HM Ranking,XGBoost,preprocessing,10000,BF16 vs FP64,248.9684,227.3648,-9.5,0.31233,0.237,NO
HM Ranking,XGBoost,preprocessing,100000,FP32 vs FP64,1130.3901,1777.9354,36.42,0.0,0.932,YES
HM Ranking,XGBoost,preprocessing,100000,FP16 vs FP64,9758.41,1777.9354,-448.86,0.0,1.0,YES
HM Ranking,XGBoost,preprocessing,100000,BF16 vs FP64,1369.1208,1777.9354,22.99,4e-05,0.858,YES
HM Ranking,XGBoost,inference,100,FP32 vs FP64,181.9355,179.2228,-1.51,0.27518,0.255,NO
HM Ranking,XGBoost,inference,100,FP16 vs FP64,178.2086,179.2228,0.57,0.79148,0.065,NO
HM Ranking,XGBoost,inference,100,BF16 vs FP64,194.5239,179.2228,-8.54,0.36659,0.212,NO
HM Ranking,XGBoost,inference,1000,FP32 vs FP64,561.8711,557.6269,-0.76,0.67208,0.102,NO
HM Ranking,XGBoost,inference,1000,FP16 vs FP64,630.1608,557.6269,-13.01,0.00103,0.717,YES
HM Ranking,XGBoost,inference,1000,BF16 vs FP64,527.4494,557.6269,5.41,0.69152,0.095,NO
HM Ranking,XGBoost,inference,10000,FP32 vs FP64,4081.0592,4149.0827,1.64,0.79148,0.065,NO
HM Ranking,XGBoost,inference,10000,FP16 vs FP64,4531.092,4149.0827,-9.21,0.00103,0.717,YES
HM Ranking,XGBoost,inference,10000,BF16 vs FP64,4606.402,4149.0827,-11.02,0.5965,0.126,NO
HM Ranking,XGBoost,inference,100000,FP32 vs FP64,41183.289,40831.0934,-0.86,0.61504,0.12,NO
HM Ranking,XGBoost,inference,100000,FP16 vs FP64,42105.1237,40831.0934,-3.12,0.03934,0.471,YES
HM Ranking,XGBoost,inference,100000,BF16 vs FP64,38546.8808,40831.0934,5.59,0.28723,0.249,NO
HM Ranking,XGBoost,postprocessing,100,FP32 vs FP64,84.6827,82.9071,-2.14,0.87399,0.04,NO
HM Ranking,XGBoost,postprocessing,100,FP16 vs FP64,84.799,82.9071,-2.28,1.0,0.003,NO
HM Ranking,XGBoost,postprocessing,100,BF16 vs FP64,91.381,82.9071,-10.22,0.41077,0.194,NO
HM Ranking,XGBoost,postprocessing,1000,FP32 vs FP64,87.2974,85.8321,-1.71,0.57821,0.132,NO
HM Ranking,XGBoost,postprocessing,1000,FP16 vs FP64,92.5744,85.8321,-7.86,0.03668,0.477,YES
HM Ranking,XGBoost,postprocessing,1000,BF16 vs FP64,93.0218,85.8321,-8.38,0.49079,0.163,NO
HM Ranking,XGBoost,postprocessing,10000,FP32 vs FP64,107.4338,114.8624,6.47,0.67208,0.102,NO
HM Ranking,XGBoost,postprocessing,10000,FP16 vs FP64,118.8835,114.8624,-3.5,0.18173,0.311,NO
HM Ranking,XGBoost,postprocessing,10000,BF16 vs FP64,121.7425,114.8624,-5.99,0.38098,0.206,NO
HM Ranking,XGBoost,postprocessing,100000,FP32 vs FP64,388.34,220.4755,-76.14,0.0,1.0,YES
HM Ranking,XGBoost,postprocessing,100000,FP16 vs FP64,331.1017,220.4755,-50.18,0.0,0.963,YES
HM Ranking,XGBoost,postprocessing,100000,BF16 vs FP64,388.6239,220.4755,-76.27,0.0,0.994,YES
HM Ranking,CatBoost,preprocessing,100,FP32 vs FP64,86.7206,99.4896,12.83,0.0667,0.422,NO
HM Ranking,CatBoost,preprocessing,100,FP16 vs FP64,103.1535,99.4896,-3.68,0.07098,0.415,NO
HM Ranking,CatBoost,preprocessing,100,BF16 vs FP64,95.3285,99.4896,4.18,1.0,0.003,NO
HM Ranking,CatBoost,preprocessing,1000,FP32 vs FP64,102.4611,117.2766,12.63,0.1014,0.378,NO
HM Ranking,CatBoost,preprocessing,1000,FP16 vs FP64,185.2402,117.2766,-57.95,2e-05,0.889,YES
HM Ranking,CatBoost,preprocessing,1000,BF16 vs FP64,99.4671,117.2766,15.19,0.00378,0.643,YES
HM Ranking,CatBoost,preprocessing,10000,FP32 vs FP64,165.0108,231.5543,28.74,0.0,0.982,YES
HM Ranking,CatBoost,preprocessing,10000,FP16 vs FP64,1117.3008,231.5543,-382.52,0.0,1.0,YES
HM Ranking,CatBoost,preprocessing,10000,BF16 vs FP64,226.9625,231.5543,1.98,0.31233,0.237,NO
HM Ranking,CatBoost,preprocessing,100000,FP32 vs FP64,985.1452,1762.7984,44.11,0.0,1.0,YES
HM Ranking,CatBoost,preprocessing,100000,FP16 vs FP64,9271.5474,1762.7984,-425.96,0.0,1.0,YES
HM Ranking,CatBoost,preprocessing,100000,BF16 vs FP64,1400.8331,1762.7984,20.53,0.0,0.988,YES
HM Ranking,CatBoost,inference,100,FP32 vs FP64,125.0,133.5432,6.4,0.27518,0.255,NO
HM Ranking,CatBoost,inference,100,FP16 vs FP64,123.752,133.5432,7.33,0.57821,0.132,NO
HM Ranking,CatBoost,inference,100,BF16 vs FP64,131.1149,133.5432,1.82,0.47416,0.169,NO
HM Ranking,CatBoost,inference,1000,FP32 vs FP64,188.5731,177.9287,-5.98,0.38098,0.206,NO
HM Ranking,CatBoost,inference,1000,FP16 vs FP64,187.8955,177.9287,-5.6,0.02551,0.508,YES
HM Ranking,CatBoost,inference,1000,BF16 vs FP64,177.3844,177.9287,0.31,0.21999,0.286,NO
HM Ranking,CatBoost,inference,10000,FP32 vs FP64,501.5909,535.2266,6.28,0.19081,0.305,NO
HM Ranking,CatBoost,inference,10000,FP16 vs FP64,636.0612,535.2266,-18.84,0.00022,0.791,YES
HM Ranking,CatBoost,inference,10000,BF16 vs FP64,519.937,535.2266,2.86,0.2521,0.268,NO
HM Ranking,CatBoost,inference,100000,FP32 vs FP64,3867.3513,3498.1635,-10.55,0.47416,0.169,NO
HM Ranking,CatBoost,inference,100000,FP16 vs FP64,3925.2241,3498.1635,-12.21,0.13364,0.348,NO
HM Ranking,CatBoost,inference,100000,BF16 vs FP64,3572.9235,3498.1635,-2.14,0.21999,0.286,NO
HM Ranking,CatBoost,postprocessing,100,FP32 vs FP64,83.5749,83.3585,-0.26,0.14092,0.342,NO
HM Ranking,CatBoost,postprocessing,100,FP16 vs FP64,82.951,83.3585,0.49,0.95785,0.015,NO
HM Ranking,CatBoost,postprocessing,100,BF16 vs FP64,85.8754,83.3585,-3.02,0.63383,0.114,NO
HM Ranking,CatBoost,postprocessing,1000,FP32 vs FP64,84.166,84.3085,0.17,0.35252,0.218,NO
HM Ranking,CatBoost,postprocessing,1000,FP16 vs FP64,84.4133,84.3085,-0.12,0.89486,0.034,NO
HM Ranking,CatBoost,postprocessing,1000,BF16 vs FP64,81.1324,84.3085,3.77,0.47416,0.169,NO
HM Ranking,CatBoost,postprocessing,10000,FP32 vs FP64,95.0591,125.3354,24.16,0.00012,0.815,YES
HM Ranking,CatBoost,postprocessing,10000,FP16 vs FP64,126.9173,125.3354,-1.26,0.89486,0.034,NO
HM Ranking,CatBoost,postprocessing,10000,BF16 vs FP64,125.4437,125.3354,-0.09,0.71116,0.089,NO
HM Ranking,CatBoost,postprocessing,100000,FP32 vs FP64,605.6977,568.1234,-6.61,0.23036,0.28,NO
HM Ranking,CatBoost,postprocessing,100000,FP16 vs FP64,201.7402,568.1234,64.49,0.0,1.0,YES
HM Ranking,CatBoost,postprocessing,100000,BF16 vs FP64,217.5055,568.1234,61.72,0.0,1.0,YES
